Stations_ID; Mess_Datum; Qualitaets_Niveau; Struktur_Version; LUFTTEMPERATUR;REL_FEUCHTE;eor
  4642;2013112616;   7;  38;  -1.5;  96.0;eor
  4642;2013112617;   7;  38;  -2.1;  98.0;eor
  4642;2013112618;   7;  38;  -2.7;  99.0;eor
  4642;2013112619;   7;  38;  -2.2;  99.0;eor
  4642;2013112620;   7;  38;  -2.8;  99.0;eor
  4642;2013112621;   7;  38;  -2.5;  99.0;eor
  4642;2013112622;   7;  38;  -2.7;  99.0;eor
  4642;2013112623;   7;  38;  -2.7; 100.0;eor
  4642;2013112700;   7;  38;  -2.5; 100.0;eor
  4642;2013112701;   7;  38;  -2.1; 100.0;eor
  4642;2013112702;   7;  38;  -1.8;  99.0;eor
  4642;2013112703;   7;  38;  -1.9;  99.0;eor
  4642;2013112704;   7;  38;  -1.2;  96.0;eor
  4642;2013112705;   7;  38;  -1.0;  96.0;eor
  4642;2013112706;   7;  38;  -0.9;  95.0;eor
  4642;2013112707;   7;  38;  -0.7;  96.0;eor
  4642;2013112708;   7;  38;   0.0;  96.0;eor
  4642;2013112709;   7;  38;   0.3;  98.0;eor
  4642;2013112710;   7;  38;   1.0;  98.0;eor
  4642;2013112711;   7;  38;   1.7;  97.0;eor
  4642;2013112712;   7;  38;   2.2;  96.0;eor
  4642;2013112713;   7;  38;   2.6;  96.0;eor
  4642;2013112714;   7;  38;   2.9;  96.0;eor
  4642;2013112715;   7;  38;   3.3;  96.0;eor
  4642;2013112716;   7;  38;   3.6;  94.0;eor
  4642;2013112717;   7;  38;   3.3;  97.0;eor
  4642;2013112718;   7;  38;   3.6; 100.0;eor
  4642;2013112719;   7;  38;   3.7;  99.0;eor
  4642;2013112720;   7;  38;   4.0;  99.0;eor
  4642;2013112721;   7;  38;   4.3;  99.0;eor
  4642;2013112722;   7;  38;   5.0;  99.0;eor
  4642;2013112723;   7;  38;   5.4;  99.0;eor
  4642;2013112800;   7;  38;   5.6; 100.0;eor
  4642;2013112801;   7;  38;   5.9;  99.0;eor
  4642;2013112802;   7;  38;   6.5; 100.0;eor
  4642;2013112803;   7;  38;   6.9;  98.0;eor
  4642;2013112804;   7;  38;   7.3;  97.0;eor
  4642;2013112805;   7;  38;   7.4;  97.0;eor
  4642;2013112806;   7;  38;   8.1;  92.0;eor
  4642;2013112807;   7;  38;   8.2;  87.0;eor
  4642;2013112808;   7;  38;   8.3;  81.0;eor
  4642;2013112809;   7;  38;   8.2;  75.0;eor
  4642;2013112810;   7;  38;   8.5;  72.0;eor
  4642;2013112811;   7;  38;   8.5;  70.0;eor
  4642;2013112812;   7;  38;   8.5;  67.0;eor
  4642;2013112813;   7;  38;   8.3;  70.0;eor
  4642;2013112814;   7;  38;   8.2;  68.0;eor
  4642;2013112815;   7;  38;   8.1;  67.0;eor
