"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 19:30:00,177,8.15,90.8,7.86,99.54,0,0
2014-11-11 19:31:00,178,8.13,90.7,7.81,99.54,0,0
2014-11-11 19:32:00,179,8.16,90.7,7.87,99.54,0,0
2014-11-11 19:33:00,180,8.2,90.7,7.87,99.45,0,0
2014-11-11 19:34:00,181,8.18,90.6,7.85,99.45,0,0
2014-11-11 19:35:00,182,8.22,90.5,7.81,99.35,0,0
2014-11-11 19:36:00,183,8.2,90.5,7.81,99.25,0,0
2014-11-11 19:37:00,184,8.22,90.4,7.8,99.25,0,0
2014-11-11 19:38:00,185,8.2,90.3,7.79,99.16,0,0
2014-11-11 19:39:00,186,8.16,90.3,7.72,99.06,0,0
2014-11-11 19:40:00,187,8.2,90.3,7.81,99.06,0,0
2014-11-11 19:41:00,188,8.2,90.2,7.79,99.06,0,0
2014-11-11 19:42:00,189,8.22,90.2,7.72,98.97,0,0
2014-11-11 19:43:00,190,8.22,90.2,7.73,98.97,0,0
2014-11-11 19:44:00,191,8.25,90.2,7.77,98.97,0,0
2014-11-11 19:45:00,192,8.34,90.3,7.93,98.97,0,0
2014-11-11 19:46:00,193,8.39,90.2,7.95,98.97,0,0
2014-11-11 19:47:00,194,8.34,90.1,7.98,98.87,0,0
2014-11-11 19:48:00,195,8.34,90,7.99,98.78,0,0
2014-11-11 19:49:00,196,8.33,89.9,8,98.68,0,0
2014-11-11 19:50:00,197,8.38,89.9,8.03,98.59,0,0
2014-11-11 19:51:00,198,8.4,89.8,8.03,98.49,0,0
2014-11-11 19:52:00,199,8.33,89.7,7.92,98.2,0,0
2014-11-11 19:53:00,200,8.33,89.6,7.93,98.2,0,0
2014-11-11 19:54:00,201,8.32,89.6,7.94,98.2,0,0
2014-11-11 19:55:00,202,8.34,89.6,7.95,98.3,0,0
2014-11-11 19:56:00,203,8.36,89.7,7.99,98.3,0,0
