"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Wind"
"TIMESTAMP","RECORD","Wind_Speed","Wind_Direction","Std_Dev_Wind_Dir"
"TS","RN","","Deg","Deg"
"","","WVc:Mean_Horizontal_Windspeed","WVc:Unit_Vector_Wind_Direction","WVc:Yamartino_Algorithm"
"2014-11-11 20:02:00",209,0.811,56.6,53.86
"2014-11-11 20:03:00",210,0.906,348.9,23.04
"2014-11-11 20:04:00",211,0.674,357.2,0
"2014-11-11 20:05:00",212,0.982,46.98,0
"2014-11-11 20:06:00",213,0.737,46.27,48.43
"2014-11-11 20:07:00",214,0.791,50.72,49.97
"2014-11-11 20:08:00",215,0.95,89.3,16.25
"2014-11-11 20:09:00",216,0.367,341.3,0
"2014-11-11 20:10:00",217,0.313,177.4,0
"2014-11-11 20:11:00",218,0.583,96.3,0
"2014-11-11 20:12:00",219,0.53,94.7,0
"2014-11-11 20:13:00",220,1.069,124.2,18.01
"2014-11-11 20:14:00",221,1.055,77.45,26.25
"2014-11-11 20:15:00",222,0.575,19.43,42.76
"2014-11-11 20:16:00",223,0.89,79.3,0
"2014-11-11 20:17:00",224,1.247,49.95,0
"2014-11-11 20:18:00",225,1.542,47.11,16.15
"2014-11-11 20:19:00",226,0.678,87.9,33.33
"2014-11-11 20:20:00",227,1.541,62.1,20.35
"2014-11-11 20:21:00",228,1.252,76.1,0
"2014-11-11 20:22:00",229,1.674,83.1,0
"2014-11-11 20:23:00",230,1.516,75.21,22.47
"2014-11-11 20:24:00",231,1.386,73.42,35.48
"2014-11-11 20:25:00",232,1.181,83.6,0
"2014-11-11 20:26:00",233,1.244,69.35,0
"2014-11-11 20:27:00",234,0.75,66.12,0
"2014-11-11 20:28:00",235,1.235,101.7,39.16
"2014-11-11 20:29:00",236,1.588,91.6,39.71
"2014-11-11 20:30:00",237,1.293,64.75,25.89
"2014-11-11 20:31:00",238,1.268,82.8,0
"2014-11-11 20:32:00",239,0.77,89.3,0
"2014-11-11 20:33:00",240,1.582,92.3,0
"2014-11-11 20:34:00",241,1.814,77.1,14.8
"2014-11-11 20:35:00",242,0.956,50.73,29.62
"2014-11-11 20:36:00",243,1.594,83.7,0
"2014-11-11 20:37:00",244,1.509,66.23,0
"2014-11-11 20:38:00",245,1.579,76.33,0
"2014-11-11 20:39:00",246,1.124,77.7,40.74
"2014-11-11 20:40:00",247,0.887,18.03,43.16
"2014-11-11 20:41:00",248,1.034,65.46,64.11
"2014-11-11 20:42:00",249,0.778,148.7,46.49
"2014-11-11 20:43:00",250,0.955,25.49,0
"2014-11-11 20:44:00",251,1.776,46.09,0
"2014-11-11 20:45:00",252,0.909,49.65,39.75
"2014-11-11 20:46:00",253,0.367,30.78,62
"2014-11-11 20:47:00",254,0.485,0.999,0
