"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-11-11 17:45:00",86,-0.877,0.128,-0.094,15.44,0.252,0.007,-0.054,0.074,0.101,0.002,0.032,0.059,-0.017,0.057,300,-1
"2014-11-11 17:46:00",87,-0.784,-0.049,-0.111,15.36,0.065,-0.035,-0.022,0.01,0.084,0.011,0.001,0.02,-0.006,0.027,301,0
"2014-11-11 17:47:00",88,-1.171,-0.275,-0.029,15.36,0.07,-0.087,-0.005,0.008,0.314,-0.005,-0.004,0.042,-0.014,0.029,300,0
"2014-11-11 17:48:00",89,-0.871,-0.202,-0.09,15.24,0.329,0.061,0.012,-0.047,0.204,0.012,0.073,0.034,-0.008,0.065,300,-1
"2014-11-11 17:49:00",90,-0.884,0.256,-0.012,15.35,0.121,0.001,0.012,-0.006,0.15,-0.014,0.039,0.068,-0.022,0.043,300,-1
"2014-11-11 17:50:00",91,-0.955,-0.273,-0.002,15.32,0.447,0.02,0.043,-0.079,0.325,0.052,-0.013,0.092,-0.013,0.025,301,0
"2014-11-11 17:51:00",92,-0.77,0.216,0.003,15.35,0.119,0.057,-0.007,0.024,0.201,-0.007,0.025,0.031,-0.009,0.034,300,0
"2014-11-11 17:52:00",93,-1.752,-0.183,-0.093,15.52,0.671,0.019,0.009,-0.032,0.213,0.024,-0.023,0.101,-0.022,0.032,300,0
"2014-11-11 17:53:00",94,-0.82,-0.035,-0.165,15.41,0.062,0.017,0.02,0.001,0.107,0.048,-0.013,0.078,-0.01,0.009,300,-1
"2014-11-11 17:54:00",95,-0.835,-0.377,0.01,15.34,0.11,0.02,0.012,0.01,0.245,-0.033,-0.01,0.134,-0.007,0.017,300,-1
"2014-11-11 17:55:00",96,-1.139,0.407,-0.211,15.48,0.294,0.012,0.054,-0.028,0.441,0.043,0.035,0.153,-0.021,0.027,301,0
"2014-11-11 17:56:00",97,-1.259,0.014,0.135,15.2,0.178,0.027,-0.011,-0.012,0.164,0.031,0.001,0.055,0.002,0.038,300,0
"2014-11-11 17:57:00",98,-0.671,-0.054,-0.063,15.24,0.057,-0.003,0.006,-0.002,0.092,-0.03,0.017,0.076,-0.067,0.133,300,0
